,CustomerID,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,ProdTaken
0,202891.0,36.0,0,3,7.0,2,1,3,4.0,2,3.0,1,2.0,0,3,1,1.0,0,23395.0,0
1,204177.0,47.0,0,3,9.0,3,0,4,5.5,3,4.0,2,5.0,1,5,1,1.0,3,32652.25,0
2,203616.0,30.0,0,3,17.0,2,1,3,5.0,2,3.0,3,2.0,0,4,1,1.0,0,24547.0,0
3,201440.0,36.0,1,1,10.0,0,0,3,3.0,2,4.0,2,1.0,0,3,1,1.0,0,20131.0,0
4,204039.0,27.0,0,1,13.0,0,0,3,5.0,0,4.0,2,3.0,0,3,1,2.0,1,21046.0,0
5,203558.0,49.0,0,1,22.0,0,0,4,4.0,0,5.0,2,2.0,0,1,1,1.0,1,21045.0,0
6,202250.0,28.0,1,1,30.0,3,1,3,4.0,1,5.0,3,2.0,0,1,1,1.0,2,23722.0,1
7,200101.0,32.0,0,1,6.0,0,1,3,3.0,0,5.0,0,2.0,0,2,0,2.0,1,17956.0,0
8,200812.0,43.0,1,1,33.0,0,0,2,3.0,1,5.0,1,1.0,0,4,0,0.0,2,25820.0,0
9,200169.0,32.0,0,1,12.0,0,1,2,3.0,0,3.0,0,4.0,0,2,0,1.0,1,18038.0,0
10,204493.0,35.0,0,1,9.0,2,0,3,5.0,0,5.0,3,3.0,0,1,1,1.0,1,23059.0,0
11,204157.0,41.0,0,1,31.0,3,1,4,4.0,2,3.0,2,3.0,0,3,1,2.0,0,21997.0,0
12,202194.0,24.0,0,1,14.0,2,0,2,4.0,2,3.0,2,2.0,0,3,0,0.0,0,22262.0,0
13,202196.0,36.0,1,1,6.0,0,0,3,3.0,2,5.0,2,2.0,0,5,1,0.0,0,22262.0,0
14,203676.0,36.0,0,1,34.0,0,1,3,4.0,2,3.0,2,4.0,0,5,0,2.0,0,25561.0,0
15,201090.0,29.0,0,1,14.0,0,0,2,5.0,2,5.0,2,4.0,0,1,0,0.0,0,24715.0,0
16,201597.0,19.0,0,3,28.0,2,1,2,3.0,0,3.0,0,2.0,1,1,1,0.0,1,16675.0,1
17,201363.0,33.0,0,3,16.0,2,1,2,3.0,2,3.0,0,2.0,0,1,0,0.0,0,20487.0,0
18,202235.0,38.0,1,1,9.0,0,1,2,3.0,0,3.0,2,4.0,0,3,1,0.0,1,17821.0,0
19,201164.0,40.0,0,1,22.0,0,0,2,3.0,1,3.0,3,7.0,1,4,1,0.0,2,22945.0,0
20,200109.0,22.0,0,1,21.0,2,0,2,3.0,0,3.0,0,2.0,0,2,1,1.0,1,17871.0,0
21,200463.0,26.0,0,1,30.0,3,1,3,5.0,0,3.0,0,2.0,1,3,1,2.0,1,17340.0,1
22,204297.0,23.0,0,1,18.0,2,0,3,4.0,0,4.0,2,3.0,0,1,1,2.0,1,20922.0,0
23,203715.0,22.0,0,3,14.0,2,1,3,4.0,0,4.0,3,3.0,0,5,1,2.0,1,21357.0,1
24,200039.0,33.0,1,3,6.0,0,0,2,2.0,2,5.0,1,3.0,0,3,1,0.0,0,20376.0,0
25,201793.0,36.0,0,1,8.0,2,1,2,5.0,0,3.0,2,6.0,1,3,1,1.0,1,18464.0,1
26,202021.0,39.0,0,2,9.0,0,0,2,1.5,2,4.0,2,1.0,0,1,0,0.0,0,21389.0,0
27,202729.0,38.0,0,1,7.0,0,0,3,4.0,0,3.0,0,3.0,0,2,1,2.0,1,20793.0,0
28,201865.0,43.0,1,1,27.0,2,1,3,3.0,0,3.0,2,1.0,0,4,1,2.0,1,17258.0,0
29,204086.0,37.0,1,1,10.0,2,1,2,4.0,0,4.0,0,6.0,0,4,1,1.0,1,20766.0,0
30,202581.0,40.0,0,3,11.0,0,0,3,5.0,2,3.0,1,6.0,0,5,1,1.0,0,24580.0,0
31,203011.0,35.0,0,3,9.0,0,1,3,4.0,2,3.0,3,3.0,0,5,0,1.0,0,24952.0,0
32,204023.0,23.0,0,1,22.0,2,0,3,4.0,0,3.0,3,3.0,0,1,1,2.0,1,21549.0,0
33,202220.0,44.0,0,3,34.0,2,0,2,1.5,3,3.0,2,4.0,1,1,1,0.0,3,28320.0,0
34,200393.0,34.0,1,3,10.0,2,0,3,3.0,2,3.0,1,1.0,0,2,1,0.0,0,21538.0,0
35,200685.0,26.0,1,3,14.0,2,1,2,4.0,2,5.0,0,2.0,0,3,1,1.0,0,22262.0,0
36,203102.0,45.0,0,1,16.0,0,1,4,4.0,0,5.0,1,3.0,1,3,1,1.0,1,21237.0,0
37,200114.0,34.0,0,1,14.0,0,0,2,4.0,2,4.0,2,7.0,0,3,0,1.0,0,19505.0,0
38,204799.0,26.0,0,3,17.0,0,1,3,4.0,2,3.0,3,2.0,0,1,1,1.0,0,23628.0,0
39,204514.0,33.0,0,1,11.0,0,0,4,5.0,2,3.0,2,3.0,0,4,1,2.0,0,24840.0,0
40,204358.0,49.0,0,3,9.0,2,0,3,4.0,2,3.0,2,4.0,0,5,1,1.0,0,22729.0,0
41,200212.0,27.0,1,3,26.0,0,0,2,3.0,2,3.0,3,2.0,0,2,1,1.0,0,24981.0,0
42,202884.0,35.0,1,2,30.0,0,0,3,4.0,1,5.0,2,2.0,1,3,1,1.0,2,28628.0,1
43,202134.0,36.0,0,1,20.0,0,1,3,3.0,2,3.0,2,1.0,1,5,1,0.0,0,21586.0,0
44,200295.0,42.0,1,3,32.0,2,0,3,3.0,3,4.0,1,6.0,0,3,1,2.0,3,28525.0,0
45,204728.0,41.0,0,1,21.0,2,1,3,5.0,4,3.0,0,3.0,0,3,1,2.0,4,32652.25,0
46,200961.0,35.0,1,1,14.0,0,1,2,3.0,2,3.0,0,2.0,1,1,1,1.0,0,22262.0,0
47,204731.0,37.0,1,1,25.0,0,1,4,4.0,2,3.0,3,4.0,0,3,0,2.0,0,26457.0,0
48,201151.0,28.0,0,1,33.0,2,0,2,5.0,2,5.0,2,1.0,0,4,1,0.0,0,20208.0,0
49,202804.0,58.0,0,1,7.0,2,1,3,4.0,2,3.0,1,4.0,0,3,1,2.0,0,25433.0,0
